,Broj suseda,Spisak suseda
A4D1U4,1,['P0DTC5']
A6NFN3,1,['P0DTC5']
O00165,1,['P0DTC5']
O00217,1,['P0DTC5']
O00471,6,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9UNE7', 'Q9UPT5']"
O00482,1,['P0DTC5']
O14981,1,['P0DTC5']
O15063,1,['P0DTC5']
O15287,2,"['O15287', 'P0DTC5']"
O15354,4,"['O15354', 'O95070', 'P0DTC5', 'Q5BJH7']"
O15374,1,['P0DTC5']
O43251,2,"['O43251', 'P0DTC5']"
O43826,1,['P0DTC5']
O43852,3,"['P0DTC5', 'P51617', 'Q96CB8']"
O43929,1,['P0DTC5']
O60318,1,['P0DTC5']
O60674,2,"['O60674', 'P0DTC5']"
O75306,2,"['P0DTC5', 'Q8WWC4']"
O75439,4,"['P0DTC5', 'Q10713', 'Q8WWC4', 'Q96D53']"
O75448,1,['P0DTC5']
O75691,1,['P0DTC5']
O75694,1,['P0DTC5']
O75841,1,['P0DTC5']
O75947,3,"['P0DTC5', 'P27105', 'P51636']"
O75953,2,"['P0DTC5', 'Q9UDY4']"
O76082,1,['P0DTC5']
O94788,1,['P0DTC5']
O94822,1,['P0DTC5']
O94829,2,"['P0DTC5', 'P27105']"
O94919,3,"['P0DTC5', 'P27105', 'Q9Y6E2']"
O95070,2,"['O15354', 'P0DTC5']"
O95299,1,['P0DTC5']
O95772,2,"['P0DTC5', 'P27105']"
O95786,5,"['O95786', 'P0DTC5', 'P0DTC9', 'Q13114', 'Q7Z434']"
O95864,1,['P0DTC5']
P00403,2,"['P0DTC5', 'P27105']"
P01031,1,['P0DTC5']
P05026,1,['P0DTC5']
P05165,2,"['P05166', 'P0DTC5']"
P05166,2,"['P05165', 'P0DTC5']"
P07093,1,['P0DTC5']
P07858,1,['P0DTC5']
P08236,2,"['P08236', 'P0DTC5']"
P0DTC5,197,"['A4D1U4', 'A6NFN3', 'O00165', 'O00217', 'O00471', 'O00482', 'O14981', 'O15063', 'O15287', 'O15354', 'O15374', 'O43251', 'O43826', 'O43852', 'O43929', 'O60318', 'O60674', 'O75306', 'O75439', 'O75448', 'O75691', 'O75694', 'O75841', 'O75947', 'O75953', 'O76082', 'O94788', 'O94822', 'O94829', 'O94919', 'O95070', 'O95299', 'O95772', 'O95786', 'O95864', 'P00403', 'P01031', 'P05026', 'P05165', 'P05166', 'P07093', 'P07858', 'P08236', 'P0DTC6', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629', 'P11310', 'P11498', 'P13804', 'P16219', 'P19634', 'P20700', 'P24752', 'P25686', 'P27105', 'P27144', 'P35670', 'P38435', 'P38606', 'P42126', 'P42695', 'P45954', 'P48047', 'P48556', 'P49116', 'P49590', 'P49810', 'P51617', 'P51636', 'P51649', 'P54707', 'P78527', 'P78545', 'P98198', 'Q00765', 'Q03135', 'Q03169', 'Q05932', 'Q10713', 'Q13021', 'Q13114', 'Q13232', 'Q13608', 'Q14164', 'Q14653', 'Q15054', 'Q15386', 'Q15758', 'Q16236', 'Q16585', 'Q3MJ13', 'Q4KMQ2', 'Q53H96', 'Q53HI1', 'Q58EX7', 'Q5BJH7', 'Q5JRX3', 'Q5SWX8', 'Q5T3U5', 'Q5T4D3', 'Q68DH5', 'Q6IBW4', 'Q6NT16', 'Q6P3X3', 'Q6PML9', 'Q6SZW1', 'Q6UB35', 'Q6UX53', 'Q6UX65', 'Q6ZT07', 'Q7L8L6', 'Q7Z3C6', 'Q7Z3D6', 'Q7Z434', 'Q7Z4H7', 'Q7Z4R8', 'Q86UA1', 'Q86UT6', 'Q8IWZ3', 'Q8IZQ1', 'Q8N2H3', 'Q8N442', 'Q8N5G2', 'Q8NCN5', 'Q8NDA8', 'Q8NEW0', 'Q8NFQ8', 'Q8NHH9', 'Q8NI22', 'Q8TAG9', 'Q8WUM0', 'Q8WWC4', 'Q8WXA3', 'Q92538', 'Q92791', 'Q92820', 'Q93084', 'Q969N2', 'Q96A65', 'Q96CB8', 'Q96CM8', 'Q96CW5', 'Q96D53', 'Q96ED9', 'Q96ER3', 'Q96HR9', 'Q96HU1', 'Q96HW7', 'Q96I59', 'Q96JB5', 'Q96JI7', 'Q96MT1', 'Q96NT5', 'Q96Q80', 'Q96RL7', 'Q96RQ1', 'Q99720', 'Q99797', 'Q9BQT8', 'Q9BRK5', 'Q9BSJ2', 'Q9BW27', 'Q9BW92', 'Q9BXI2', 'Q9BYX4', 'Q9BZD2', 'Q9C029', 'Q9C0E2', 'Q9H019', 'Q9H2U2', 'Q9H7F0', 'Q9H9E3', 'Q9H9P8', 'Q9NQC3', 'Q9NV66', 'Q9NVI1', 'Q9UBQ6', 'Q9UBU6', 'Q9UDR5', 'Q9UDY4', 'Q9UHD2', 'Q9UI26', 'Q9ULX6', 'Q9UNE7', 'Q9UNS1', 'Q9UPT5', 'Q9Y2W3', 'Q9Y312', 'Q9Y426', 'Q9Y487', 'Q9Y5Y2', 'Q9Y672', 'Q9Y6A1', 'Q9Y6D5', 'Q9Y6D6', 'Q9Y6E2']"
P0DTC6,3,"['P0DTC5', 'Q96HR9', 'Q9UHD2']"
P0DTC9,5,"['O95786', 'P0DTC5', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629']"
P0DTD1-PRO_0000449619,3,"['P0DTC5', 'P0DTC9', 'P0DTD1-PRO_0000449629']"
P0DTD1-PRO_0000449629,5,"['P0DTC5', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629', 'Q9BXI2']"
P11310,2,"['P0DTC5', 'P11310']"
P11498,2,"['P0DTC5', 'P11498']"
P13804,4,"['P0DTC5', 'P78545', 'Q14164', 'Q8WWC4']"
P16219,1,['P0DTC5']
P19634,1,['P0DTC5']
P20700,2,"['P0DTC5', 'P20700']"
P24752,1,['P0DTC5']
P25686,1,['P0DTC5']
P27105,13,"['O75947', 'O94829', 'O94919', 'O95772', 'P00403', 'P0DTC5', 'P27105', 'P38606', 'P48047', 'Q969N2', 'Q96ER3', 'Q99720', 'Q9UI26']"
P27144,1,['P0DTC5']
P35670,1,['P0DTC5']
P38435,1,['P0DTC5']
P38606,3,"['P0DTC5', 'P27105', 'Q92820']"
P42126,1,['P0DTC5']
P42695,2,"['P0DTC5', 'Q6IBW4']"
P45954,1,['P0DTC5']
P48047,5,"['P0DTC5', 'P27105', 'P51636', 'Q14164', 'Q8WWC4']"
P48556,1,['P0DTC5']
P49116,2,"['P0DTC5', 'P49116']"
P49590,2,"['P0DTC5', 'P49590']"
P49810,2,"['P0DTC5', 'Q8TAG9']"
P51617,4,"['O43852', 'P0DTC5', 'P51617', 'Q9UNE7']"
P51636,4,"['O75947', 'P0DTC5', 'P48047', 'Q03135']"
P51649,2,"['P0DTC5', 'P51649']"
P54707,1,['P0DTC5']
P78527,1,['P0DTC5']
P78545,3,"['P0DTC5', 'P13804', 'Q16236']"
P98198,1,['P0DTC5']
Q00765,3,"['P0DTC5', 'Q96HR9', 'Q9Y487']"
Q03135,2,"['P0DTC5', 'P51636']"
Q03169,1,['P0DTC5']
Q05932,2,"['P0DTC5', 'Q8NFQ8']"
Q10713,4,"['O75439', 'P0DTC5', 'Q8WWC4', 'Q96D53']"
Q13021,1,['P0DTC5']
Q13114,4,"['P0DTC5', 'Q13114', 'Q14164', 'Q9UHD2']"
Q13232,1,['P0DTC5']
Q13608,1,['P0DTC5']
Q14164,9,"['P0DTC5', 'P13804', 'P48047', 'Q13114', 'Q14164', 'Q14653', 'Q7Z434', 'Q9BYX4', 'Q9UHD2']"
Q14653,5,"['P0DTC5', 'Q14164', 'Q14653', 'Q7Z434', 'Q9UHD2']"
Q15054,1,['P0DTC5']
Q15386,1,['P0DTC5']
Q15758,2,"['P0DTC5', 'Q15758']"
Q16236,2,"['P0DTC5', 'P78545']"
Q16585,1,['P0DTC5']
Q3MJ13,1,['P0DTC5']
Q4KMQ2,1,['P0DTC5']
Q53H96,2,"['P0DTC5', 'Q53H96']"
Q53HI1,1,['P0DTC5']
Q58EX7,1,['P0DTC5']
Q5BJH7,2,"['O15354', 'P0DTC5']"
Q5JRX3,2,"['P0DTC5', 'Q96D53']"
Q5SWX8,1,['P0DTC5']
Q5T3U5,1,['P0DTC5']
Q5T4D3,1,['P0DTC5']
Q68DH5,1,['P0DTC5']
Q6IBW4,2,"['P0DTC5', 'P42695']"
Q6NT16,1,['P0DTC5']
Q6P3X3,1,['P0DTC5']
Q6PML9,1,['P0DTC5']
Q6SZW1,2,"['P0DTC5', 'Q6SZW1']"
Q6UB35,1,['P0DTC5']
Q6UX53,1,['P0DTC5']
Q6UX65,1,['P0DTC5']
Q6ZT07,1,['P0DTC5']
Q7L8L6,2,"['P0DTC5', 'Q86UT6']"
Q7Z3C6,2,"['P0DTC5', 'Q9UHD2']"
Q7Z3D6,1,['P0DTC5']
Q7Z434,10,"['O95786', 'P0DTC5', 'Q13114', 'Q14164', 'Q14653', 'Q7Z434', 'Q86UT6', 'Q9BYX4', 'Q9UHD2', 'Q9Y6E2']"
Q7Z4H7,2,"['P0DTC5', 'Q86UT6']"
Q7Z4R8,1,['P0DTC5']
Q86UA1,1,['P0DTC5']
Q86UT6,3,"['P0DTC5', 'Q7L8L6', 'Q7Z4H7']"
Q8IWZ3,1,['P0DTC5']
Q8IZQ1,1,['P0DTC5']
Q8N2H3,1,['P0DTC5']
Q8N442,1,['P0DTC5']
Q8N5G2,1,['P0DTC5']
Q8NCN5,1,['P0DTC5']
Q8NDA8,1,['P0DTC5']
Q8NEW0,1,['P0DTC5']
Q8NFQ8,1,['P0DTC5']
Q8NHH9,1,['P0DTC5']
Q8NI22,1,['P0DTC5']
Q8TAG9,6,"['O00471', 'P0DTC5', 'P49810', 'Q8TAG9', 'Q96A65', 'Q9UPT5']"
Q8WUM0,2,"['P0DTC5', 'Q9BW27']"
Q8WWC4,8,"['O75306', 'O75439', 'P0DTC5', 'P13804', 'P48047', 'Q10713', 'Q96CM8', 'Q9BW92']"
Q8WXA3,1,['P0DTC5']
Q92538,1,['P0DTC5']
Q92791,1,['P0DTC5']
Q92820,2,"['P0DTC5', 'P38606']"
Q93084,1,['P0DTC5']
Q969N2,2,"['P0DTC5', 'P27105']"
Q96A65,4,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q9UPT5']"
Q96CB8,2,"['O43852', 'P0DTC5']"
Q96CM8,2,"['P0DTC5', 'Q8WWC4']"
Q96CW5,2,"['P0DTC5', 'Q9BSJ2']"
Q96D53,4,"['O75439', 'P0DTC5', 'Q10713', 'Q5JRX3']"
Q96ED9,2,"['P0DTC5', 'Q96ED9']"
Q96ER3,2,"['P0DTC5', 'P27105']"
Q96HR9,4,"['P0DTC5', 'P0DTC6', 'Q00765', 'Q96HR9']"
Q96HU1,1,['P0DTC5']
Q96HW7,1,['P0DTC5']
Q96I59,1,['P0DTC5']
Q96JB5,1,['P0DTC5']
Q96JI7,1,['P0DTC5']
Q96MT1,1,['P0DTC5']
Q96NT5,2,"['P0DTC5', 'Q96NT5']"
Q96Q80,1,['P0DTC5']
Q96RL7,1,['P0DTC5']
Q96RQ1,1,['P0DTC5']
Q99720,3,"['P0DTC5', 'P27105', 'Q99720']"
Q99797,1,['P0DTC5']
Q9BQT8,1,['P0DTC5']
Q9BRK5,2,"['P0DTC5', 'Q9Y6D5']"
Q9BSJ2,2,"['P0DTC5', 'Q96CW5']"
Q9BW27,2,"['P0DTC5', 'Q8WUM0']"
Q9BW92,2,"['P0DTC5', 'Q8WWC4']"
Q9BXI2,2,"['P0DTC5', 'P0DTD1-PRO_0000449629']"
Q9BYX4,4,"['P0DTC5', 'Q14164', 'Q7Z434', 'Q9BYX4']"
Q9BZD2,1,['P0DTC5']
Q9C029,1,['P0DTC5']
Q9C0E2,1,['P0DTC5']
Q9H019,2,"['P0DTC5', 'Q9BRK5']"
Q9H2U2,2,"['P0DTC5', 'Q96CM8']"
Q9H7F0,1,['P0DTC5']
Q9H9E3,2,"['P0DTC5', 'Q9H9E3']"
Q9H9P8,1,['P0DTC5']
Q9NQC3,3,"['P0DTC5', 'Q6UX53', 'Q9NQC3']"
Q9NV66,2,"['P0DTC5', 'Q9Y487']"
Q9NVI1,1,['P0DTC5']
Q9UBQ6,1,['P0DTC5']
Q9UBU6,1,['P0DTC5']
Q9UDR5,1,['P0DTC5']
Q9UDY4,2,"['O75953', 'P0DTC5']"
Q9UHD2,8,"['P0DTC5', 'P0DTC6', 'Q13114', 'Q14164', 'Q14653', 'Q7Z3C6', 'Q7Z434', 'Q9UHD2']"
Q9UI26,2,"['P0DTC5', 'P27105']"
Q9ULX6,1,['P0DTC5']
Q9UNE7,3,"['O00471', 'P0DTC5', 'P51617']"
Q9UNS1,1,['P0DTC5']
Q9UPT5,5,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9Y6D5']"
Q9Y2W3,1,['P0DTC5']
Q9Y312,1,['P0DTC5']
Q9Y426,1,['P0DTC5']
Q9Y487,3,"['P0DTC5', 'Q00765', 'Q9NV66']"
Q9Y5Y2,1,['P0DTC5']
Q9Y672,1,['P0DTC5']
Q9Y6A1,1,['P0DTC5']
Q9Y6D5,4,"['P0DTC5', 'Q9BRK5', 'Q9UPT5', 'Q9Y6D6']"
Q9Y6D6,2,"['P0DTC5', 'Q9Y6D5']"
Q9Y6E2,3,"['O94919', 'P0DTC5', 'Q7Z434']"
